Qty,Part,Value,Device,Package,Description
2,C1;C2,10u,C-EUC0603,C0603,"CAPACITOR, European symbol"
2,C3;C4,1u,C-EUC0603,C0603,"CAPACITOR, European symbol"
2,C5;C6,0.1u,C-EUC0603,C0603,"CAPACITOR, European symbol"
1,D1,3W-AL-PCB,3W-AL-PCB,AL-PCB-20MM,
1,D2,GREEN,LED-GREEN0603,LED-0603,Green SMD LED
1,J1,,JST_2MM_MALE,JST-2-SMD,JST 2MM MALE RA CONNECTOR
1,J2,,USB_C16PIN,USB-C-16P,USB Type C 16Pin Connector
1,P1,3352T-1-105,3352T-1,3352T-1,
2,R1; R2,5.1k,R-US_R0603,R0603,"RESISTOR, American symbol"
3,R3; R7; R8,1k,R-US_R0603,R0603,"RESISTOR, American symbol"
1,R4,680r,R-US_R0603,R0603,"RESISTOR, American symbol"
1,R5,10k,R-US_R0603,R0603,"RESISTOR, American symbol"
1,R6,7.5M,R-US_R0603,R0603,"RESISTOR, American symbol"
1,R9,0.5r,R-EU_R2512,R2512,"RESISTOR, European symbol"
1,U1,BQ21040DBVT,BQ21040DBVT,SOT95P280X145-6N,Check prices
1,U2,NCP500SN33,MIC5205YM5,SOT95P280X145-5N,None Check prices
1,U3,TLV521DCKT,TLV521DCKT,SOT65P210X110-5N,Check prices
1,U4,SI4126DY-T1-GE3,SI4126DY-T1-GE3,SOIC127P600X175-8N,Single N-Channel 30 V 0.00275 Ohm
2,Z1;Z2,Jumper,,,
